audio_id,audio_path,speaker_id,speaker_gender,emotion,emotion_index,emotion_detail,service_emotion,emotion_source,transcript,transcript_source,duration_s,sample_rate,channels,audio_rms,audio_peak,audio_zero_crossing_rate,spectral_centroid_hz,pitch_hz,pitch_confidence
f2001_000001,small/F2001.tar!F2001/wav_48000/F2001_000001.wav,F2001,female,neutral,1,"뉴스, 나레이션 문의 낭독체",normal,skt_index,,,5.0620,44100,1,0.0474199,0.405121,0.0485327,3466.5990,154.7368,0.3357
f2001_000002,small/F2001.tar!F2001/wav_48000/F2001_000002.wav,F2001,female,neutral,1,"뉴스, 나레이션 문의 낭독체",normal,skt_index,,,8.8700,44100,1,0.0436235,0.37558,0.0622803,2489.0697,127.8261,0.4293
f2001_000003,small/F2001.tar!F2001/wav_48000/F2001_000003.wav,F2001,female,neutral,1,"뉴스, 나레이션 문의 낭독체",normal,skt_index,,,7.3375,44100,1,0.0227844,0.255524,0.0597466,3993.1789,267.2727,0.9360
f2001_000004,small/F2001.tar!F2001/wav_48000/F2001_000004.wav,F2001,female,neutral,1,"뉴스, 나레이션 문의 낭독체",normal,skt_index,,,6.3623,44100,1,0.0478784,0.438904,0.0502789,3472.8744,334.0909,0.3574
f2001_000005,small/F2001.tar!F2001/wav_48000/F2001_000005.wav,F2001,female,neutral,1,"뉴스, 나레이션 문의 낭독체",normal,skt_index,,,4.8298,44100,1,0.0627347,0.562714,0.0414947,1929.6612,319.5652,0.4056
f2001_000006,small/F2001.tar!F2001/wav_48000/F2001_000006.wav,F2001,female,neutral,1,"뉴스, 나레이션 문의 낭독체",normal,skt_index,,,7.4304,44100,1,0.0498322,0.404022,0.0575136,2935.9623,193.4211,0.3698
f2001_000007,small/F2001.tar!F2001/wav_48000/F2001_000007.wav,F2001,female,neutral,1,"뉴스, 나레이션 문의 낭독체",normal,skt_index,,,7.5697,44100,1,0.0348833,0.262115,0.053091,2906.4235,193.4211,0.6620
f2001_000008,small/F2001.tar!F2001/wav_48000/F2001_000008.wav,F2001,female,neutral,1,"뉴스, 나레이션 문의 낭독체",normal,skt_index,,,5.9907,44100,1,0.0252127,0.251465,0.0332449,1927.4011,207.0423,0.6867
f2001_000009,small/F2001.tar!F2001/wav_48000/F2001_000009.wav,F2001,female,neutral,1,"뉴스, 나레이션 문의 낭독체",normal,skt_index,,,10.0775,44100,1,0.0300865,0.226379,0.0342473,2443.8742,198.6486,0.7275
f2001_000010,small/F2001.tar!F2001/wav_48000/F2001_000010.wav,F2001,female,neutral,1,"뉴스, 나레이션 문의 낭독체",normal,skt_index,,,6.4087,44100,1,0.0194585,0.211517,0.0526178,3461.8789,233.3333,0.7231
f2001_000011,small/F2001.tar!F2001/wav_48000/F2001_000011.wav,F2001,female,neutral,1,"뉴스, 나레이션 문의 낭독체",normal,skt_index,,,9.6595,44100,1,0.0913683,0.772095,0.0665754,3231.4732,288.2353,0.8216
f2001_000012,small/F2001.tar!F2001/wav_48000/F2001_000012.wav,F2001,female,neutral,1,"뉴스, 나레이션 문의 낭독체",normal,skt_index,,,5.8514,44100,1,0.0747446,0.764099,0.0630079,3675.1978,282.6923,0.3325
f2001_000013,small/F2001.tar!F2001/wav_48000/F2001_000013.wav,F2001,female,neutral,1,"뉴스, 나레이션 문의 낭독체",normal,skt_index,,,5.9907,44100,1,0.0838203,0.766357,0.0831785,3400.3094,408.3333,0.6942
f2001_000014,small/F2001.tar!F2001/wav_48000/F2001_000014.wav,F2001,female,neutral,1,"뉴스, 나레이션 문의 낭독체",normal,skt_index,,,4.1796,44100,1,0.0680993,0.654297,0.0537655,2938.7842,210.0000,0.5246
f2001_000015,small/F2001.tar!F2001/wav_48000/F2001_000015.wav,F2001,female,neutral,1,"뉴스, 나레이션 문의 낭독체",normal,skt_index,,,9.5666,44100,1,0.0533167,0.623535,0.0926504,3540.8885,222.7273,0.2556
f2001_000016,small/F2001.tar!F2001/wav_48000/F2001_000016.wav,F2001,female,neutral,1,"뉴스, 나레이션 문의 낭독체",normal,skt_index,,,5.7121,44100,1,0.0487922,0.61676,0.0623375,3584.1511,420.0000,0.9255
f2001_000017,small/F2001.tar!F2001/wav_48000/F2001_000017.wav,F2001,female,neutral,1,"뉴스, 나레이션 문의 낭독체",normal,skt_index,,,6.7338,44100,1,0.061493,0.632385,0.0595806,2776.8506,154.7368,0.3713
f2001_000018,small/F2001.tar!F2001/wav_48000/F2001_000018.wav,F2001,female,neutral,1,"뉴스, 나레이션 문의 낭독체",normal,skt_index,,,5.2477,44100,1,0.087615,0.967377,0.0751006,2806.6393,334.0909,0.4142
f2001_000019,small/F2001.tar!F2001/wav_48000/F2001_000019.wav,F2001,female,neutral,1,"뉴스, 나레이션 문의 낭독체",normal,skt_index,,,6.7802,44100,1,0.0599327,0.640045,0.0466912,2682.6772,245.0000,0.4135
f2001_000020,small/F2001.tar!F2001/wav_48000/F2001_000020.wav,F2001,female,neutral,1,"뉴스, 나레이션 문의 낭독체",normal,skt_index,,,5.2013,44100,1,0.0565587,0.50116,0.0530441,2652.5292,204.1667,0.7832
f2001_000021,small/F2001.tar!F2001/wav_48000/F2001_000021.wav,F2001,female,angry,2,"화난, 큰소리의",angry,skt_index,,,11.3662,44100,1,0.0441597,0.452118,0.0569119,4151.4871,326.6667,0.5853
f2001_000022,small/F2001.tar!F2001/wav_48000/F2001_000022.wav,F2001,female,angry,2,"화난, 큰소리의",angry,skt_index,,,7.0124,44100,1,0.0456663,0.388916,0.0521363,3280.9367,249.1525,0.5952
f2001_000023,small/F2001.tar!F2001/wav_48000/F2001_000023.wav,F2001,female,angry,2,"화난, 큰소리의",angry,skt_index,,,5.3406,44100,1,0.0391589,0.294098,0.0666825,3337.7349,376.9231,0.7853
f2001_000024,small/F2001.tar!F2001/wav_48000/F2001_000024.wav,F2001,female,angry,2,"화난, 큰소리의",angry,skt_index,,,5.9907,44100,1,0.0436572,0.417053,0.0629317,3321.8530,161.5385,0.3531
f2001_000025,small/F2001.tar!F2001/wav_48000/F2001_000025.wav,F2001,female,angry,2,"화난, 큰소리의",angry,skt_index,,,5.3406,44100,1,0.0449833,0.406921,0.0396656,2824.1167,210.0000,0.5020
f2001_000026,small/F2001.tar!F2001/wav_48000/F2001_000026.wav,F2001,female,angry,2,"화난, 큰소리의",angry,skt_index,,,8.0341,44100,1,0.090384,0.720703,0.0654242,1922.4235,397.2973,0.4643
f2001_000027,small/F2001.tar!F2001/wav_48000/F2001_000027.wav,F2001,female,angry,2,"화난, 큰소리의",angry,skt_index,,,4.9226,44100,1,0.0276474,0.217804,0.0579215,2760.1838,237.0968,0.8016
f2001_000028,small/F2001.tar!F2001/wav_48000/F2001_000028.wav,F2001,female,angry,2,"화난, 큰소리의",angry,skt_index,,,6.4551,44100,1,0.109502,0.950012,0.0345838,2046.9341,408.3333,0.2814
f2001_000029,small/F2001.tar!F2001/wav_48000/F2001_000029.wav,F2001,female,angry,2,"화난, 큰소리의",angry,skt_index,,,6.3158,44100,1,0.0603211,0.610199,0.0474317,2761.5006,114.8438,0.2086
f2001_000030,small/F2001.tar!F2001/wav_48000/F2001_000030.wav,F2001,female,angry,2,"화난, 큰소리의",angry,skt_index,,,6.5016,44100,1,0.029594,0.286896,0.0427073,2757.1104,249.1525,0.4337
f2001_000031,small/F2001.tar!F2001/wav_48000/F2001_000031.wav,F2001,female,joy,3,"즐거운, 기쁜, 행복한",normal,skt_index,,,5.7585,44100,1,0.0223807,0.211304,0.0569086,3511.3374,376.9231,0.7087
f2001_000032,small/F2001.tar!F2001/wav_48000/F2001_000032.wav,F2001,female,joy,3,"즐거운, 기쁜, 행복한",normal,skt_index,,,8.2199,44100,1,0.0273715,0.264832,0.0568008,4595.0822,350.0000,0.7009
f2001_000033,small/F2001.tar!F2001/wav_48000/F2001_000033.wav,F2001,female,joy,3,"즐거운, 기쁜, 행복한",normal,skt_index,,,7.0589,44100,1,0.0213209,0.240234,0.0397726,2114.8811,186.0759,0.5818
f2001_000034,small/F2001.tar!F2001/wav_48000/F2001_000034.wav,F2001,female,joy,3,"즐거운, 기쁜, 행복한",normal,skt_index,,,4.5511,44100,1,0.040262,0.388672,0.059755,3260.1566,350.0000,0.8097
f2001_000035,small/F2001.tar!F2001/wav_48000/F2001_000035.wav,F2001,female,joy,3,"즐거운, 기쁜, 행복한",normal,skt_index,,,5.2477,44100,1,0.0221203,0.186707,0.0408473,2808.6186,116.6667,0.3216
f2001_000036,small/F2001.tar!F2001/wav_48000/F2001_000036.wav,F2001,female,joy,3,"즐거운, 기쁜, 행복한",normal,skt_index,,,6.7802,44100,1,0.0358637,0.285645,0.0596943,3840.1904,367.5000,0.5913
